incident_month,incident_year,injury_severity,latitude,longitude,month_year,shark_behaviour_generic,shark_behaviour_specific,site_category_cleaned,state_names,victim_injury,location,provoked_unprovoked,victim_gender,victim_activity,shark_common_name,shark_scientific_name,no_sharks,reference,injury_location,data_source,shark_identification_method,shark_behaviour,victim_age
12,2016,minor_lacerations,-31.145316666666666,115.1265,2016-12-01,shark_bit_his_left_foot_whilst_he_was_diving,shark_bit_his_left_foot_whilst_he_was_diving,coastal,Western Australia,injured,trigg beach,unprovoked,male,snorkelling,shark_not_known,shark_not_known,,http://www.perthnow.com.au/news/western-australia/perth-diver-bitten-on-ankle-by-shark-at-trigg-beach/news-story/25a55ce0fbcebb1826b11751ebef0fb8,foot,media outlet,unknown,shark bit his left foot whilst he was diving,61.0
1,2017,major_lacerations,-9.863916666666666,144.79081666666667,2017-01-01,bit_multiple_times,bit_multiple_times,island_open_ocean,Queensland,injured,"murry island, torres strait, (80km east)",unprovoked,male,snorkelling,whaler shark,Carcharhinidae,,http://www.abc.net.au/news/2017-01-21/shark-attacks-man-diving-on-great-barrier-reef-at-murray-island/8200708,"hand, arm, torso",media outlet,"bite analysis, shark behaviour, geographical location",multiple bites,55.0
1,2017,minor_lacerations,-36.88666666666667,149.91318333333334,2017-01-01,bit_foot,bit_foot,estuary_harbour,New South Wales,injured,merrimbula main beach,provoked,male,swimming,wobbegong,Orectolobidae,,http://www.merimbulanewsweekly.com.au/story/4385991/shark-bites-mornington-mans-foot-at-merimbula-beach/,foot,media outlet,"bite analysis, shark behaviour",bit foot,19.0
1,2017,minor_lacerations,-21.96676666666667,149.48438333333334,2017-01-01,bit_hand,bit_hand,coastal,Queensland,injured,flaggy rock,unprovoked,male,swimming,shark_not_known,shark_not_known,1.0,http://www.trackingsharks.com/man-bitten-shark-queensland/,hand,media outlet,unknown,bit hand,57.0
1,2017,nan,-10.654066666666667,142.50723333333335,2017-01-01,unknown,unknown,coastal,Queensland,uninjured,northern tip of cape york (unknown location),provoked,male,spearfishing,whaler shark,Carcharhinidae,1.0,www.dailymail.co.uk/news/article-4100802/get-jaws-heart-stopping-footage-shows-diver-attacked-killer-bull-shark-great-barrier-reef.html#ixzz4gjxirs6s ,other: uninjured,media outlet,unknown,unknown,
2,2017,nan,-32.567,115.65,2017-02-01,surfer_s_board_struck_by_2m_unknown_species,surfer_s_board_struck_by_2m_unknown_species,coastal,Western Australia,uninjured,"falcon bay, mandurah",unprovoked,male,boarding,shark_not_known,shark_not_known,1.0,,unknown,unknown,unknown,surfer's board struck by 2m unknown species,
2,2017,major_lacerations,-18.249483333333334,146.18393333333333,2017-02-01,bit_leg,bit_leg,island_open_ocean,Queensland,injured,hinchinbrook island,unprovoked,male,snorkelling,tiger shark,Galeocerdo cuvier ,,http://www.abc.net.au/news/2017-02-19/queensland-shark-attack-victim-glenn-dickson-critical-surgery/8283990,leg,media outlet,"bite analysis, shark behaviour, geographical location",bit victim on leg,25.0
2,2017,minor_lacerations,-23.2411667,113.1294,2017-02-01,bit_hand,bit_hand,coastal,Western Australia,injured,mauds point coral bay,unprovoked,female,snorkelling,bull shark,Carcharhinus leucas,1.0,http://www.watoday.com.au/wa-news/swimmer-bitten-by-bull-shark-in-coral-bay-20170227-gumbjt.html,hand,media outlet,unknown,bit hand,
3,2017,minor_lacerations,-34.60465,150.86778333333334,2017-03-01,a_small_shark_tried_to_bit_surfer_on_buttock,a_small_shark_tried_to_bit_surfer_on_buttock,coastal,New South Wales,injured,"the farm, killalea state park",unprovoked,male,boarding,shark_not_known,shark_not_known,1.0,http://www.illawarramercury.com.au/story/4539883/bodyboarder-bitten-on-the-butt-by-shark-at-the-farm/,"torso, pelvic region",media outlet,unknown,a small shark tried to bit surfer on buttock,30.0
4,2017,nan,-27.052066666666665,153.05745,2017-04-01,bit_object,bit_equipment,coastal,Queensland,uninjured,moreton bay off redcliff,unprovoked,male,unmotorised boating,shark_not_known,shark_not_known,1.0,http://www.abc.net.au/news/2017-04-03/sunshine-coast-kayaker-tells-shark-encounter-off-brisbane/8411798,other: uninjured,media outlet,unknown,bit kayak,
4,2017,minor_lacerations,-32.7667,152.1127,2017-04-01,surfed_into_the_shallows_jumped_off_board_when_vicitm_was_kocked_over_by_shark_and_bitten_on_left_foot_victim_kicked_out_at_shark_then_jumped_up_and_landed_on_shark_before_victim_and_shark_swam_away,surfed_into_the_shallows_jumped_off_board_when_vicitm_was_kocked_over_by_shark_and_bitten_on_left_foot_victim_kicked_out_at_shark_then_jumped_up_and_landed_on_shark_before_victim_and_shark_swam_away,coastal,New South Wales,injured,"one mile beach, port stephens",provoked,male,boarding,grey nurse shark,Carcharius taurus,1.0,,left foot,other questionnaire (DPI),bite analysis,"SURFED INTO THE SHALLOWS JUMPED OFF BOARD WHEN VICITM WAS KOCKED OVER BY SHARK AND BITTEN ON LEFT FOOT, VICTIM KICKED OUT AT SHARK THEN JUMPED UP AND LANDED ON SHARK BEFORE VICTIM AND SHARK SWAM AWAY",46.0
4,2017,major_lacerations,-33.83250092,121.9968696,2017-04-01,bit_board_and_left_leg,bit_board_and_left_leg,coastal,Western Australia,fatal,"the kelp beds, wylie bay, esperance",unprovoked,female,boarding,white shark,Carcharodon carcharias ,1.0,http://www.abc.net.au/news/2017-04-18/wa-shark-attack-esperance-beach-to-remain-closed-teenage-girl/8448526,leg,ASAF questionnaire,"bite analysis, shark behaviour",bit board and left leg,17.0
6,2017,nan,-33.0775,151.0725,2017-06-01,bumped,bumped_into_object,coastal,New South Wales,uninjured,avoca beach,unprovoked,male,boarding,white shark,Carcharodon carcharias ,1.0,dpi questionnaire,other: uninjured,government report,"shark behaviour, geographical location, direct observation",bumped board,
6,2017,nan,-33.3146,115.635,2017-06-01,unknown,unknown,coastal,Western Australia,uninjured,"casuarina point, bunbury",unprovoked,unknown,boarding,white shark,Carcharodon carcharias ,1.0,http://www.abc.net.au/news/2017-08-29/surfer-fends-off-shark-near-lorne/8852186,unknown,unknown,"bite analysis, shark behaviour",unknown,
8,2017,minor_lacerations,-38.5367,143.9715,2017-08-01,then_it_kind_of_dived_off_came_back_and_circled_me_and_took_a_fair_notch_out_of_my_board_circled_me_again_then_it_got_me_on_my_wettie_it_got_me_on_my_hip_,then_it_kind_of_dived_off_came_back_and_circled_me_and_took_a_fair_notch_out_of_my_board_circled_me_again_then_it_got_me_on_my_wettie_it_got_me_on_my_hip_,coastal,Victoria,injured,"cathedral point, lorne",unprovoked,male,boarding,white shark,Carcharodon carcharias ,1.0,,pelvic region,unknown,unknown,"then it kind of dived off, came back and circled me, and took a fair notch out of my board, circled me again, then it got me on my wettie, it got me on my hip.",
9,2017,nan,-29.59387,153.3322,2017-09-01,unknown,unknown,coastal,New South Wales,injured,main beach illuka,unprovoked,unknown,boarding,white shark,Carcharodon carcharias ,,,unknown,unknown,unknown,unknown,
9,2017,nan,-33.8585,114.9843,2017-09-01,unknown,unknown,coastal,Western Australia,uninjured,"north point beach, gracetown",unprovoked,female,boarding,white shark,Carcharodon carcharias ,1.0,,unknown,unknown,direct observation,unknown,
9,2017,nan,-20.61367,117.1863,2017-09-01,unknown,unknown,estuary_harbour,Western Australia,injured,"sams creek, karratha",unprovoked,male,swimming,whaler shark,Carcharhinidae,1.0,,leg,unknown,direct observation,unknown,
10,2017,nan,-35.448,138.318,2017-10-01,unknown,unknown,coastal,South Australia,uninjured,"lady bay, normanville, adelaide",unprovoked,female,unmotorised boating,white shark,Carcharodon carcharias ,1.0,,unknown,unknown,unknown,unknown,
10,2017,minor_lacerations,-32.798333,152.079167,2017-10-01,miscellaneous,shark_not_seen,coastal,New South Wales,injured,"birubi beach, port stephens",provoked,male,boarding,wobbegong,Orectolobidae,1.0,http://mobile.abc.net.au/news/2017-10-28/shark-attack-closes-birubi-beach-nsw/9095942?pfmredir=sm,foot,unknown,unknown,awaiting dpi investigation,31.0
11,2017,minor_lacerations,-33.465,151.435,2017-11-01,shark_approached_from_right_hand_side_and_knocked_victim_off_board,shark_approached_from_right_hand_side_and_knocked_victim_off_board,coastal,New South Wales,injured,avoca beach,unprovoked,male,boarding,white shark,Carcharodon carcharias ,1.0,,arm,unknown,unknown,shark approached from right hand side and knocked victim off board,25.0
12,2017,nan,-32.7876,152.08002,2017-12-01,bumped,bumped_into_object,coastal,New South Wales,uninjured,"birubi, port stephens",unprovoked,male,boarding,grey nurse shark,Carcharius taurus,1.0,DPI QUESTIONAIRE,unknown,unknown,unknown,bumped board,
1,2018,nan,-16.4683,123.5353,2018-01-01,unknown,unknown,other_fish_farm,Western Australia,injured,"cone bay, kimberley",provoked,male,swimming,bull shark,Carcharhinus leucas,1.0,,unknown,unknown,unknown,unknown,
1,2018,surface_wound,-34.425072,150.893143,2018-01-01,shark_approached_from_behind_and_bit_victims_fin_which_came_off,shark_approached_from_behind_and_bit_victims_fin_which_came_off,island_open_ocean,New South Wales,injured,"five islands, wollongong",unprovoked,female,snorkelling,white shark,Carcharodon carcharias ,1.0,,unknown,unknown,direct observation,shark approached from behind and bit victims fin which came off,28.0
1,2018,minor_lacerations,-33.8416,115.0221,2018-01-01,sufer_was_sitting_on_his_board_when_he_was_bitten_on_the_heal_by_shark_,sufer_was_sitting_on_his_board_when_he_was_bitten_on_the_heal_by_shark_,coastal,Western Australia,injured,gracetown,unprovoked,male,boarding,wobbegong,Orectolobidae,,,foot,unknown,unknown,sufer was sitting on his board when he was bitten on the heal by shark. ,
1,2018,major_lacerations,-14.668,145.4638,2018-01-01,unknown,unknown,island_open_ocean,Queensland,injured,lizard island,provoked,male,snorkelling,grey reef shark,Carcharhinus amblyrhynchos,1.0,https://www.news.com.au/finance/work/at-work/volunteers-20k-debt-following-brutal-university-field-trip-shark-attack/news-story/0508038f91abb5d88df7d22e26115fa0,unknown,unknown,direct observation,unknown,
2,2018,nan,-32.5361,115.7424,2018-02-01,unknown,unknown,coastal,Western Australia,uninjured,"avalon point, mandurah",provoked,male,spearfishing,whaler shark,Carcharhinidae,1.0,,unknown,unknown,direct observation,unknown,14.0
2,2018,minor_lacerations,-34.67,150.84,2018-02-01,unknown,unknown,coastal,New South Wales,injured,"kiama surf beach, kiama",unprovoked,male,other: standing in water,whaler shark,Carcharhinidae,1.0,,"leg, foot",unknown,direct observation,unknown,35.0
2,2018,minor_lacerations,-31.7789,115.7326,2018-02-01,bit_her_on_left_shin,bit_her_on_left_shin,coastal,Western Australia,injured,"mullaoo beach, joondalup",unprovoked,female,swimming,wobbegong,Orectolobidae,1.0,,calf,unknown,unknown,bit her on left shin,17.0
2,2018,minor_lacerations,-33.5638,115.0629,2018-02-01,hard_part_of_leg,hard_part_of_leg,coastal,Western Australia,injured,"rocky point, eagle bay",provoked,male,snorkelling,wobbegong,Orectolobidae,,,leg,unknown,unknown,hard part of leg,
2,2018,major_lacerations,-33.993,151.1753,2018-02-01,unknown,unknown,coastal,New South Wales,injured,"congwong beach, botany bay",unprovoked,female,swimming,white shark,Carcharodon carcharias ,1.0,https://www.theaustralian.com.au/news/nation/sydney-shark-survivor-lucky-to-be-alive/news-story/b7e9344027a97c627754b4bb5de08e29,leg,unknown,bite analysis,unknown,55.0
3,2018,nan,-34.2256,115.0609,2018-03-01,swam_towards_diver_who_poked_shark_with_snare_shark_bit_snare_and_swam_off,swam_towards_diver_who_poked_shark_with_snare_shark_bit_snare_and_swam_off,coastal,Western Australia,uninjured,hamelin bay,provoked,male,snorkelling,tiger shark,Galeocerdo cuvier ,1.0,email from wa fisheries,other: uninjured,unknown,direct observation,"swam towards diver who poked shark with snare, shark bit snare and swam off",
